Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
50,1450000,327360,194970,522330,2014,13829,C,Masonry,,0.3369146811,62,0.94,41046,12040,,145,1,11,,,,,,,,,,,,,,Bexar,TX,78216,Industrial,6/29/2015,,Sold,,,,Manufacturing,2210 Copper Hill,San Antonio,Mac-bet Properties Llc,Gretchen Willis,13829,2 Star,S05,North Central,Multi,,13829,,1967
3,795000,0,53800,53800,2014,4900,B,,,0.1138555197,0,0.99,43037,250,,337,1,,,,,,,,,,,,,,,Bexar,TX,78263,Industrial,5/6/2015,,Sold,,,,Warehouse,200 Heritage Vw,Adkins,Katherine J Moody,Katherine Moody,4900,1 Star,S08,South,Single,15449.9,4900,,2014
18,,361650,81050,442700,2016,4797,C,Metal,,0.3135704014,81,0.35,15298,,,,1,15,1,3.13,,,,,,,,,,,,Bexar,TX,78233,Industrial,10/7/2016,,Sold,,,,Warehouse,,,,,4797,1 Star,S06,Northeast,Multi,10776.53,4797,,1999
10,875000,,,,,10000,B,Masonry,"22'0""",0.2669442887,,0.86,37461,4408,,70,1,16,1,1.61,,,,,,,,,,,,Comal,TX,78154,Industrial,9/30/2016,,Sold,,,,Warehouse,8526 N New Braunfels Ave,San Antonio,John Lane & Associates,John Lane,10000,2 Star,S33,Comal County,Multi,13687.29,10000,100,2007
42,,366160,121840,488000,2015,10180,C,Masonry,"11'0""",0.0597852898,75,3.91,170276,1000,,,1,40,1,3.92,,,,,,,,,,,,Bexar,TX,78220,Industrial,9/30/2015,,Sold,,,,Warehouse,9388 Corporate Dr,Schertz,Keller Material,Steve Keller,10180,2 Star,S08,South,Multi,13166.46,10180,,1975
37,,1808690,504750,2313440,2015,69903,C,Reinforced Concrete,,0.3458524228,78,4.64,202118,12127,,,1,50,3,0.71,,,,,,,,,,,,Bexar,TX,78219,Industrial,1/9/2016,,Sold,,,,Distribution,4130 Platinum Way,Dallas,Uni-Select USA,Richard Buzzard,69903,3 Star,S06,Northeast,Multi,63823.78,69903,,1980
22,,11594560,555440,12150000,2015,188438,C,Masonry,,0.4266218095,95,10.14,441698,,,,1,70,4,0.37,,,,,,,,,,,,Bexar,TX,78219,Industrial,2/9/2016,,Sold,,,,Refrigeration/Cold Storage,21700 Barton Rd,Colton,Bay Grove Capital LLC,,188438,3 Star,S06,Northeast,Multi,338688.6,188438,,1995
59,950000,716460,234510,950970,2015,17280,C,Metal,"10'0""-13'0""",0.0918274622,75,4.32,188179,111,,85,1,30,1,1.44,15.625,,,,,,,,,,,Bexar,TX,78214,Industrial,5/12/2016,,Sold,,,,Truck Terminal,,,,,17280,2 Star,S08,South,Single,27973.88,17280,,1958
47,,868450,636740,1505190,2015,40000,C,Masonry,"24'0""",0.4591368228,57,2,87120,,,,1,38,5,,,,,,,,,,,,,Bexar,TX,78230,Industrial,5/27/2016,,Sold,,,,Warehouse,,,,,40000,3 Star,S07,Northwest,Multi,43167.27,40000,26.75,1970
35,656000,,,,,8000,C,Masonry,"12'0""",0.4833252779,,0.38,16552,9311,,217,1,11,,1.37,,,,,,,,,,,,Bexar,TX,78217,Industrial,6/17/2016,,Sold,,,,Warehouse,,,,,8000,2 Star,S06,Northeast,Multi,10444.26,8000,,1982
41,,69360,81000,150360,2015,7600,C,Metal,,0.3190328268,46,0.55,23822,,,,1,20,,2.63,,,,,,,,,,,,Bexar,TX,78216,Industrial,6/14/2016,,Sold,,,,Service,,,,,7600,1 Star,S05,North Central,Multi,3901.27,7600,,1976
37,,155250,458950,614200,2015,24000,C,Metal,,0.156524121,25,3.52,153331,,,,1,20,,0.83,,,,,,,,,,,,Bexar,TX,78254,Industrial,6/30/2016,,Sold,,,,Warehouse,14543 Contour Pl,Helotes,Timothy J Hansen,Tim Hansen,24000,2 Star,S07,Northwest,Single,21482.44,24000,,1980
9,,0,1192360,1192360,2015,130707,B,Masonry,"32'0""",0.122474279,0,24.5,1067220,,,,1,100,3,,,,,,,,,,,,,Bexar,TX,78247,Industrial,8/16/2016,,Sold,,,,Warehouse,3 Sanctuary Dr,San Antonio,M Theresa Dolan,Theresa Dolan,130707,5 Star,S05,North Central,Multi,,130707,,2008
39,,100,1101370,1101470,2016,19000,C,Metal,,0.0848600702,0,5.14,223898,,,,1,55,1,0.74,,,,,,,,,,,,Bexar,TX,78259,Industrial,1/1/2017,,Sold,,,,Manufacturing,,,,,19000,2 Star,S02,Far North Central,Single,,19000,,1978
23,,850450,272350,1122800,2016,10594,C,Metal,,0.1085740054,75,2.24,97574,,,,1,22,1,2.19,,,,,,,,,,,,Bexar,TX,78247,Industrial,1/1/2017,,Sold,,,,Showroom,,,,,10594,2 Star,S05,North Central,Single,,10594,,1994
35,2370000,5767860,932140,6700000,2016,31600,C,Metal,,0.0973739839,86,7.45,324522,7373,,334,1,132,4,4.89,,,,,,,,,,,,Bexar,TX,78217,Industrial,2/14/2017,,Sold,,,,,,,,,31600,2 Star,S05,North Central,Multi,,31600,75.01,1982
2,500000,565240,29160,594400,2016,246600,B,Reinforced Concrete,"27'0""",18.6113207547,95,0.3,13250,,,27,1,3,6,0.01,,,,,,,,,,,,Bexar,TX,78223,Industrial,12/1/2016,,Sold,,,,Refrigeration/Cold Storage,,,,,246600,4 Star,S08,South,Multi,816.24,246600,20.37,2015
33,,353680,38250,391930,2014,10300,C,Reinforced Concrete,"16'0""",0.5386465851,90,0.44,19122,,,,1,10,2,0.95,,,,,,,,,,,,Bexar,TX,78230,Industrial,4/9/2015,,Sold,,,,Distribution,,,,,10300,2 Star,S07,Northwest,Multi,14338.93,10300,,1984
5,1050000,581520,38480,620000,2014,10080,B,Reinforced Concrete,"17'0""",0.3824991462,93,0.61,26353,7373,,970,1,13,,1.29,10.31746,,,,,,,,,,,Bexar,TX,78219,Industrial,9/8/2015,,Sold,,,,Service,"7898 Broadway St, 100",San Antonio,Richard M Peacock,Richard Peacock,10080,2 Star,S06,Northeast,Single,22347.64,10080,,2012
19,,9330,448150,457480,2015,7440,C,,,0.1067493113,2,1.6,69696,,,,1,36,,4.83,,,,,,,,,,,,Comal,TX,78154,Industrial,9/17/2015,,Sold,,,,Showroom,8519 Tuscan Hills Dr,Garden Ridge,"TNW Properties, LLC",Trawick Womack,7440,1 Star,S33,Comal County,Single,10203.27,7440,,1998
42,,750320,207670,957990,2015,15550,C,Masonry,,0.0845922436,78,4.22,183823,,,,1,20,,1.28,,,,,,,,,,,,Bexar,TX,78219,Industrial,10/6/2015,,Sold,,,,Truck Terminal,"1336 Glenarm Pl, 200",Denver,Ringsby Realty,,15550,2 Star,S06,Northeast,Multi,25847,15550,,1975
,,264110,49730,313840,,4750,C,,,0,84,0.46,19889,,,,,,,,,,,,,,,,,,,Bexar,TX,78233,Industrial,11/6/2015,,Sold,,,,,13102 Lookout Way,San Antonio,"Lookout Metals, LLC",,4750,1 Star,S06,Northeast,,,,,
37,,166460,51330,217790,2015,5734,C,Metal,,0.2793121925,76,0.47,20529,,,,1,16,1,2.79,,,,,,,,,,,,Bexar,TX,78207,Industrial,9/30/2015,,Sold,,,,Warehouse,,,,,5734,1 Star,S07,Northwest,Multi,5876.07,5734,,1980
48,2800000,1855050,1344950,3200000,2015,208784,B,Reinforced Concrete,"16'0""-18'0""",0.2083922226,57,23,1001880,10103,,2575,1,701,,3.35,11.495134,Y,,,,,,,,,,Bexar,TX,78227,Industrial,3/8/2016,,Sold,,,,Manufacturing,,,,,208784,3 Star,S10,Far West,Multi,93985.68,208784,99.62,1969
12,,183648,58871,242519,2015,2000,B,Metal,,0.0459136823,75,1,43560,,,,1,22,1,,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,1/1/2016,,Sold,,,,Service,,,,,2000,1 Star,S12,Guadalupe County,Single,,2000,,2005
67,315000,41290,71110,112400,2015,811,C,,"12'0""",0.0285121643,36,0.65,28444,801,,15,1,,,,,,,,,,,,,,,Bexar,TX,78207,Industrial,6/30/2016,,Sold,,,,Truck Terminal,,,Guerrero & Morales Llc,Michael Guerrero,811,1 Star,S07,Northwest,Single,3437.12,811,100,1950
41,,240880,88470,329350,2016,9234,C,Metal,,0.1648016277,73,0.68,29490,,,,2,14,1,1.52,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/20/2016,,Sold,,,,Warehouse,,,,,9234,2 Star,S05,North Central,Multi,8875.34,4860,,1976
4,,589800,208540,798340,2016,4900,B,Metal,"18'0""",0.0304023031,73,3.7,161172,,,,1,30,1,6.12,28.571429,,,,,,,,,,,Bexar,TX,78263,Industrial,10/31/2016,,Sold,,,,Warehouse,,,,,4900,1 Star,S08,South,Single,17031.43,4900,,2013
9,,580630,315910,896540,2015,6160,B,Metal,,0.061485023,64,2.3,100187,,,,1,25,1,4.06,,,,,,,,,,,,Bexar,TX,78109,Industrial,5/27/2016,,Sold,,,,Warehouse,,,Burle & Cozette Robins,Burle Robins,6160,1 Star,S08,South,Single,20628.7,6160,,2008
31,,1426390,252210,1678600,2015,46900,B,Masonry,"17'0""-24'0""",0.4125216596,84,2.61,113691,200,,,1,,11,3.92,,N,,,,,,,,,,Bexar,TX,78247,Industrial,2/19/2016,,Sold,,,,Warehouse,"1370 Reynolds Ave, 120",Irvine,RLA Advisors,,46900,3 Star,S05,North Central,Multi,216828.24,46900,10.23,1986
42,450000,209310,77320,286630,2015,20000,C,Metal,"18'0""",0.1476330728,73,3.11,135471,8026,,97,1,40,1,1.88,,,,,,,,,,,,Bexar,TX,78219,Industrial,11/11/2015,,Sold,,,,Warehouse,,Austin,"LOBI Investments, LLC",Walter Biel,20000,2 Star,S08,South,,7840.61,20000,,1975
27,650000,202100,17030,219130,2014,6960,C,Masonry,,0.1761442034,92,0.78,34063,100,,40,2,30,,1.44,,,,,,,,,,,,Bexar,TX,78244,Industrial,3/30/2015,,Sold,,,,Manufacturing,"100 NE Loop 410, 1500",San Antonio,Stream Realty Partners-Central Texas,,6960,1 Star,S06,Northeast,Multi,11420.21,6000,,1990
3,,628090,54400,682490,2015,4900,B,Metal,"18'0""",0.1136258232,92,0.99,43124,,,,1,30,,6.12,28.571429,,,,,,,,,,,Bexar,TX,78263,Industrial,8/7/2015,,Sold,,,,Warehouse,200 Heritage Vw,Adkins,Katherine J Moody,Katherine Moody,4900,1 Star,S08,South,Single,14483.63,4900,,2014
52,,181560,45440,227000,2015,10700,C,Metal,,0.7416649338,79,0.33,14427,,,,1,7,2,0.64,11.691589,,,,,,,,,,,Bexar,TX,78212,Industrial,7/15/2016,,Sold,,,,Manufacturing,,,,,10700,2 Star,S05,North Central,Multi,7990.79,10700,,1965
38,,286030,794640,1080670,2016,18000,C,Masonry,,0.0543001167,26,7.61,331491,,,,1,25,1,1.38,,,,,,,,,,,,Bexar,TX,78023,Industrial,10/11/2016,,Sold,,,,Manufacturing,,,,,18000,2 Star,S04,Far Northwest,Multi,26768.57,18000,,1979
72,,2342470,1194710,3537180,2016,21850,C,Masonry,,0.118583725,66,4.23,184258,,,,1,25,1,1.14,,,,,,,,,,,,Bexar,TX,78204,Industrial,12/14/2016,,Sold,,,,Manufacturing,,,,,21850,2 Star,S01,CBD,Multi,99833.55,21850,,1945
13,,588570,140860,729430,2016,4900,B,,"18'0""",0.0219148184,80,5.13,223593,,,,1,,,,28.571429,,,,,,,,,,,Bexar,TX,78109,Industrial,12/22/2016,,Sold,,,,,,,,,4900,1 Star,S06,Northeast,Multi,30379.34,4900,,2004
9,,1083990,86010,1170000,2015,13000,B,Metal,"20'0""",0.2162629758,92,1.38,60112,,,,1,35,2,2.69,,,,,,,,,,,,Bexar,TX,78109,Industrial,4/26/2016,,Sold,,,,Warehouse,,Universal City,TJ Elite Properties,,13000,2 Star,S06,Northeast,Multi,,13000,,2008
31,,2953140,396860,3350000,2015,77000,C,Reinforced Concrete,"18'0""-22'0""",0.3493441857,88,5.06,220413,200,,96,1,96,5,1.39,54,N,,,,,,,,,,Bexar,TX,78233,Industrial,10/28/2015,,Sold,,,,Warehouse,,,,,77000,3 Star,S06,Northeast,Multi,91469.91,77000,,1986
47,,261220,231000,492220,2014,12036,C,Masonry,,0.3126396176,53,0.88,38498,10103,,,1,15,,1.58,,,,,,,,,,,,Bexar,TX,78217,Industrial,3/20/2015,,Sold,,,,Showroom,5 Whispering Winds,Magnolia,Howard & Shirley Herring,Howard Herring,12036,2 Star,S05,North Central,Multi,15749.75,12036,,1970
75,,79930,33570,113500,2014,11832,C,Masonry,,0.5739330064,70,0.22,9583,,,,2,,1,,,,,,,,,,,,,Bexar,TX,78207,Industrial,5/12/2015,,Sold,,,,Warehouse,,,,,11832,2 Star,S07,Northwest,Single,4499.39,5500,,1942
42,,132820,54010,186830,2014,6656,C,Metal,"14'0""",0.2037343128,71,0.75,32670,,,,1,8,1,1.2,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/10/2015,,Sold,,,,Manufacturing,,,,,6656,1 Star,S05,North Central,Single,15580.74,6656,,1975
,,564510,335490,900000,2015,18480,C,,,0.0418632783,62,10.13,441437,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78109,Industrial,11/30/2015,,Sold,,,,,3910 Luz Del Faro,San Antonio,Glenn D Boggs,Glenn Boggs,18480,1 Star,S06,Northeast,,24644.48,18480,,
42,,1892760,1012330,2905090,2014,92318,C,Masonry,"18'0""",0.5298324151,65,4,174240,,,,1,100,2,1.13,5.004441,,,,,,,,,,,Bexar,TX,78218,Industrial,3/18/2015,,Sold,,,,Warehouse,"5245 College Ave, 503",Oakland,Embree Development,Walter Embree,92318,3 Star,S06,Northeast,Multi,85817.89,92318,,1975
27,,183240,349760,533000,2014,12384,C,Metal,,0.0861507638,34,3.3,143748,,,,1,20,,1.61,,,,,,,,,,,,Bexar,TX,78249,Industrial,6/23/2015,,Sold,,,,Warehouse,6436 Babcock Rd,San Antonio,Michael R. Senneff,,12384,2 Star,S07,Northwest,Single,17786.61,12384,,1990
41,,200000,115000,315000,2014,16000,C,Masonry,"18'0""",0.278265709,63,1.32,57499,,,,1,20,,1.4,,,,,,,,,,,,Bexar,TX,78237,Industrial,9/3/2015,,Sold,,,,Warehouse,3900 Glenwood Dr,Fort Worth,Robert W Jones,Robert Jones,16000,2 Star,S07,Northwest,Single,12555.32,16000,,1976
19,,9330,448150,457480,2015,7440,C,,,0.1067493113,2,1.6,69696,,,,1,36,,4.83,,,,,,,,,,,,Comal,TX,78154,Industrial,3/7/2016,,Sold,,,,Showroom,,,,,7440,1 Star,S33,Comal County,Single,10183.79,7440,,1998
4,,,,,,18480,B,,"20'0""-26'0""",0.162545848,,2.61,113691,100,,187,1,,,,16.233766,,,,,,,,,,,Bexar,TX,78263,Industrial,6/6/2016,,Sold,,,,Warehouse,,,,,18480,2 Star,S08,South,Multi,,18480,,2013
45,,14910,182430,197340,2015,30500,C,Metal,"11'0""-21'0""",0.5001393831,7,1.4,60983,,,,1,10,1,1.87,4.918033,N,,,,,,,,,,Bexar,TX,78233,Industrial,4/19/2016,,Sold,,,,Warehouse,,,,,30500,3 Star,S06,Northeast,Multi,28817.98,30500,17.39,1972
9,,0,1192360,1192360,2015,130707,B,Masonry,"32'0""",0.122474279,0,24.5,1067220,,,,1,100,3,,,,,,,,,,,,,Bexar,TX,78247,Industrial,8/16/2016,,Sold,,,,Warehouse,3 Sanctuary Dr,San Antonio,Michael J Dolan,Mike Dolan,130707,5 Star,S05,North Central,Multi,,130707,,2008
30,,350440,51880,402320,2016,4900,B,,,0.2833516452,87,0.4,17293,,,,1,,,,,,,,,,,,,,,Bexar,TX,78247,Industrial,12/28/2016,,Sold,,,,,,,,,4900,1 Star,S05,North Central,,,4900,,1987
72,,206080,61760,267840,2016,5700,C,Masonry,,0.1136665025,76,1.21,52786,,,,2,12,1,2.11,40,,,,,,,,,,,Bexar,TX,78210,Industrial,1/4/2017,,Sold,,,,Warehouse,,,,,5700,1 Star,S06,Northeast,Multi,,6000,,1945
47,,143330,53160,196490,2016,5700,C,Metal,,0.3377777778,72,0.39,16875,,,,1,18,1,3.16,,,,,,,,,,,,Bexar,TX,78217,Industrial,1/31/2017,,Sold,,,,Warehouse,,,,,5700,1 Star,S06,Northeast,Single,,5700,,1970
37,,4949600,1811400,6761000,2016,136936,C,Metal,"15'0""-20'0""",0.3156565657,73,8,348480,,,,2,35,3,0.41,7,,,,,,,,,,,Bexar,TX,78260,Industrial,12/29/2016,,Sold,,,,Warehouse,,,,,136936,3 Star,S02,Far North Central,Multi,147880.99,110000,,1980
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
67,134900,70180,13130,83310,2016,2574,C,Metal,,0.4221056084,84,0.14,6098,,,163,1,10,,3.89,,,,,,,,,,,,Bexar,TX,78148,Industrial,9/30/2016,,Sold,,,,Warehouse,,,,,2574,1 Star,S06,Northeast,Single,2319.63,2574,,1950
13,,1121130,465250,1586380,,31625,C,Metal,,0.0718821882,70,10.1,439956,,,,1,55,3,1.74,,,,,,,,,,,,Comal,TX,78266,Industrial,10/27/2016,,Sold,,,,Warehouse,,,,,31625,2 Star,S33,Comal County,Single,28640.84,31625,,2004
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/30/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
33,,160600,48610,209210,2015,1710,C,Metal,,0.0316584589,76,1.24,54014,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78220,Industrial,2/8/2016,,Sold,,,,,,,,,1710,1 Star,S08,South,Single,4985.44,1710,,1984
18,,257030,606310,863340,2015,19300,C,Metal,"18'0""",0.1265905811,29,3.5,152460,,,,2,33,2,1.71,,,,,,,,,,,,Bexar,TX,78256,Industrial,11/1/2015,,Sold,,,,Warehouse,701 Grandview Pl,San Antonio,Lawrence & Laura Conn,Larry Conn,19300,2 Star,S04,Far Northwest,Multi,23232,19300,,1999
42,,2212780,446930,2659710,2014,80000,C,Masonry,,0.2685014264,83,6.84,297950,200,,341,1,106,,1.31,,,,,,,,,,,,Bexar,TX,78218,Industrial,7/20/2015,,Sold,,,,Manufacturing,,,,,80000,3 Star,S06,Northeast,Multi,,80000,,1975
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
23,,28430,214500,242930,2015,1760,C,Metal,,0.1805498564,11,0.22,9748,,,,1,5,1,,,,,,,,,,,,,Bexar,TX,78215,Industrial,7/30/2016,,Sold,,,,Service,,,,,1760,1 Star,S06,Northeast,Single,9953.21,1760,,1994
37,,1756576,504750,2261326,2016,69903,C,Reinforced Concrete,,0.3458524228,77,4.64,202118,,,,1,50,4,0.71,,,,,,,,,,,,Bexar,TX,78219,Industrial,10/4/2016,,Sold,,,,Distribution,"9600 N MoPac Expy, 250",Austin,Stonelake Capital Partners,Kenneth Aboussie,69903,3 Star,S06,Northeast,Multi,63823.78,69903,,1980
42,,0,38200,38200,2016,6000,B,Metal,"24'0""-26'0""",0.0151931813,0,9.07,394914,,,,1,124,1,10,,,,,,,,,,,,Bexar,TX,78242,Industrial,10/14/2016,,Sold,,,,Warehouse,,,,,6000,1 Star,S08,South,Single,,6000,,1975
18,,99090,715790,814880,2016,19300,C,Metal,"18'0""",0.1265905811,12,3.5,152460,,,,2,33,2,1.71,,,,,,,,,,,,Bexar,TX,78256,Industrial,10/24/2016,,Sold,,,,Warehouse,,,,,19300,2 Star,S04,Far Northwest,Multi,21882.01,19300,,1999
57,,20000,2280690,2300690,2014,16542,C,Masonry,,0.3013938234,0,1.26,54885,,,,1,20,2,1.21,,,,,,,,,,,,Bexar,TX,78215,Industrial,4/9/2015,,Sold,,,,Manufacturing,221 Newell Ave,San Antonio,Samuels Glass Company,Susan Winkler,16542,2 Star,S05,North Central,Single,99474.77,16542,,1960
36,,107000,75000,182000,2014,3600,C,,,0.2399680043,58,0.34,15002,,,,1,,,,33.333333,,,,,,,,,,,Bexar,TX,78228,Industrial,8/3/2015,,Sold,,,,Warehouse,,,,,3600,1 Star,S07,Northwest,,5627.3,3600,,1981
47,,66250,57750,124000,2014,4750,C,Masonry,,0.2878787879,53,0.38,16500,,,,1,12,1,2.53,,,,,,,,,,,,Bexar,TX,78238,Industrial,8/21/2015,,Sold,,,,Service,,,,,4750,1 Star,S07,Northwest,Multi,5629.73,4750,,1970
45,,1700,29340,31040,2015,4400,C,Masonry,,0.6990784874,5,0.14,6294,,,,1,10,1,2.39,,,,,,,,,,,,Bexar,TX,78202,Industrial,10/15/2015,,Sold,,,,Service,,,,,4400,1 Star,S06,Northeast,Multi,4451.23,4400,,1972
44,,510320,209680,720000,2015,16300,B,Metal,,0.1165726219,70,3.21,139827,,,,1,60,1,4.98,,,,,,,,,,,,Bexar,TX,78211,Industrial,6/30/2016,,Sold,,,,Distribution,3421 Nogalitos,San Antonio,Randall Vail,Randall Vail,16300,2 Star,S08,South,Single,24309.42,16300,,1973
57,,85240,37150,122390,2014,4700,C,Metal,,0.3173531398,69,0.34,14810,,,,2,15,,3.19,,,,,,,,,,,,Bexar,TX,78210,Industrial,4/7/2015,,Sold,,,,Warehouse,,,,,4700,1 Star,S06,Northeast,Single,4279.1,4700,100,1960
35,,311790,156820,468610,2014,9500,C,Masonry,,0.0726966636,66,3,130680,,,,1,36,1,3.79,,,,,,,,,,,,Bexar,TX,78219,Industrial,6/11/2015,,Sold,,,,Service,,,,,9500,2 Star,S06,Northeast,Multi,13708.77,9500,,1982
34,,106770,50000,156770,2014,2600,C,Metal,,0.1300130013,68,0.46,19998,,,,1,10,1,3.84,,,,,,,,,,,,Bexar,TX,78233,Industrial,8/31/2015,,Sold,,,,Service,,,,,2600,1 Star,S06,Northeast,Multi,6682.49,2600,,1983
36,,405120,166640,571760,2015,12900,C,Masonry,"16'0""",0.2145994144,70,1.38,60112,,,,1,20,1,1.55,,Y,,,,,,,,,,Bexar,TX,78219,Industrial,9/29/2015,,Sold,,,,Service,5300 Sun Valley Dr,Fort Worth,Empire Texas Equities,Sandra McGlothlin,12900,2 Star,S06,Northeast,Single,13343.45,12900,,1981
52,,380470,70130,450600,2015,12150,C,Masonry,"16'0""",0.4331241979,84,0.64,28052,,,,1,8,1,0.59,,,,,,,,,,,,Bexar,TX,78207,Industrial,11/18/2015,,Sold,,,,Distribution,,,,,12150,1 Star,S07,Northwest,Multi,12157.39,12150,,1965
47,350000,276060,62840,338900,2015,5040,C,Metal,"19'0""",0.2520756227,81,0.46,19994,,,262,1,22,,4.36,,,,,,,,,,,,Bexar,TX,78207,Industrial,12/31/2015,,Sold,,,,,4515 San Pedro Ave,San Antonio,GrayStreet Realty Advisors,Kevin Covey,5040,1 Star,S05,North Central,Single,9143.67,5040,,1970
52,,420030,89970,510000,2015,23662,B,Masonry,,0.8284433863,82,0.66,28562,,,,1,12,1,0.5,11.753022,,,,,,,,,,,Bexar,TX,78212,Industrial,7/15/2016,,Sold,,,,Manufacturing,29682 Old Fredericksburg Rd,Boerne,Gene Hausmann,Gene Hausmann,23662,2 Star,S05,North Central,Multi,16450.95,23662,,1965
48,,1855050,1344950,3200000,2015,208784,B,Reinforced Concrete,"16'0""-18'0""",0.2083922226,57,23,1001880,,,,1,701,,3.35,11.495134,Y,,,,,,,,,,Bexar,TX,78227,Industrial,8/29/2016,,Sold,,,,Manufacturing,,,,,208784,3 Star,S10,Far West,Multi,93985.68,208784,99.62,1969
67,,70180,13130,83310,2016,2574,C,Metal,,0.4221056084,84,0.14,6098,,,,1,10,,3.89,,,,,,,,,,,,Bexar,TX,78148,Industrial,10/25/2016,,Sold,,,,Warehouse,,,,,2574,1 Star,S06,Northeast,Single,2319.63,2574,,1950
53,,112900,128330,241230,2016,2665,C,Masonry,,0.1902484295,46,0.32,14008,,,,1,9,1,3.38,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/5/2016,,Sold,,,,Service,,,,,2665,1 Star,S05,North Central,Single,4134.37,2665,,1964
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
2,,0,95050,95050,2015,6300,B,,"18'0""",0.0353097449,0,4.1,178421,250,,205,1,,,,22.222222,,,,,,,,,,,Bexar,TX,78109,Industrial,4/13/2016,,Sold,,,,Warehouse,,,,,6300,1 Star,S08,South,Single,,6300,,2015
40,,956740,352050,1308790,2015,39900,C,Masonry,,0.2267277335,73,4.04,175982,,,,1,80,1,2.01,,,,,,,,,,,,Bexar,TX,78218,Industrial,11/30/2015,,Sold,,,,Warehouse,100 Grainger Pky,Lake Forest,"Grainger, Inc.",Gail Edgar,39900,3 Star,S06,Northeast,Multi,35801.23,39900,,1977
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
42,,230500,59500,290000,2014,7844,C,Masonry,,0.4613846244,79,0.39,17001,,,,1,6,,1.05,31.871494,,,,,,,,,,,Bexar,TX,78238,Industrial,6/25/2015,,Sold,,,,Service,6114 Saddlebow,San Antonio,Powers Stanley,,7844,2 Star,S07,Northwest,Multi,11836.93,7844,,1975
