Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
3,649000,77520,74050,151570,2014,6000,A,Metal,"18'0""",0.1620482904,51,0.85,37026,1000,,467,1,12,,2,12.5,,,,,,,,,,,Bexar,TX,78218,Industrial,3/31/2015,,Sold,,,,Warehouse,,,Cooper Boddy,Cooper Boddy,6000,1 Star,S06,Northeast,Single,,6000,,2014
55,,129230,379700,508930,2015,3297,C,Metal,,0.1736817152,25,0.44,18983,,,,1,14,1,4.25,,,,,,,,,,,,Bexar,TX,78215,Industrial,10/8/2015,,Sold,,,,Warehouse,,,Sankey Wilton K & Helen O Sankey,Wilton Sankey,3297,1 Star,S01,CBD,Single,13731.16,3297,,1962
10,,3161840,900310,4062150,2015,139881,A,Masonry,"32'0""",0.0486549378,77,66,2874960,,,,1,156,2,1,,,,,,,,,,,,Comal,TX,78154,Industrial,12/23/2015,,Sold,,,,Distribution,4545 Airport Way,Denver,Prologis,,139881,5 Star,S33,Comal County,Multi,,139881,,2007
34,,83860,78250,162110,2015,2137,C,Metal,,0.0374301304,51,1.38,60112,,,,2,4,,1.87,,,,,,,,,,,,Bexar,TX,78217,Industrial,5/12/2016,,Sold,,,,Service,,,,,2137,1 Star,S05,North Central,Multi,,2250,,1983
57,,121450,37150,158600,2015,4700,C,Metal,,0.3173531398,76,0.34,14810,,,,2,15,,3.19,,,,,,,,,,,,Bexar,TX,78210,Industrial,6/27/2016,,Sold,,,,Warehouse,,,,,4700,1 Star,S06,Northeast,Single,,4700,100,1960
47,215000,92040,36000,128040,2015,4018,C,Masonry,,0.4464940549,71,0.21,8999,7271,,129,1,15,1,4.24,10.004978,,,,,,,,,,,Bexar,TX,78211,Industrial,9/1/2016,,Sold,,,,Showroom,4215 Fig Tree Woods,San Antonio,Yolanda Perez,Yolanda Perez,4018,1 Star,S08,South,Single,4384.79,4018,,1970
57,,240410,7330,247740,2016,3010,C,Metal,,0.3418213207,97,0.11,4634,,,,2,6,2,1.99,,,,,,,,,,,,Bexar,TX,78207,Industrial,9/30/2016,,Sold,,,,Service,,,,,3010,1 Star,S07,Northwest,Single,6992.23,1584,,1960
20,,234350,76500,310850,2016,4050,C,Metal,"12'0""-14'0""",0.264740489,75,0.35,15298,100,,181,1,10,1,2.83,,,,,,,,,,,,Bexar,TX,78233,Industrial,2/2/2017,,Sold,,,,Warehouse,,,,,4050,1 Star,S06,Northeast,Multi,,4050,100,1997
58,1150000,833000,117000,950000,2015,30834,C,Masonry,"16'0""",0.3261994181,87,2.17,94525,10103,,393,1,40,,1.71,8.107933,Y,,,,,,,,,,Bexar,TX,78220,Industrial,4/8/2016,,Sold,,,,,,,,,30834,2 Star,S06,Northeast,Multi,32426.61,30834,33.77,1959
57,,210680,89600,300280,2015,17000,C,Masonry,,0.9486607143,70,0.41,17920,,,,1,10,,,,,,,,,,,,,,Bexar,TX,78201,Industrial,12/31/2015,,Sold,,,,Showroom,,,,,17000,2 Star,S07,Northwest,Multi,8349.1,17000,,1960
9,,554980,124260,679240,2014,11500,C,Metal,"18'0""",0.1696140175,81,1.56,67801,8023,,,1,35,1,3.04,11.304348,,,,,,,,,,,Bexar,TX,78240,Industrial,6/26/2015,,Sold,,,,Warehouse,"1403 W Bitters Rd, A",San Antonio,Texas Champion Bank,Bob Almendarez,11500,2 Star,S07,Northwest,Single,,11500,,2008
34,400000,153000,42000,195000,2014,6550,C,Metal,"24'0""",0.3898577466,78,0.39,16801,18618,,184,1,5,1,0.76,,Y,,,,,,,,,,Bexar,TX,78233,Industrial,3/5/2015,,Sold,,,,Warehouse,"14015 Toepperwein Rd, 2A",San Antonio,Tom J. Sheridan Properties Inc,Cynthia Joyce,6550,1 Star,S06,Northeast,Multi,6701.33,6550,,1983
14,,485780,139220,625000,2014,11740,C,,,0.5818794607,77,0.46,20176,3815,,175,1,,1,,,,,,,,,,,,,Bexar,TX,78238,Industrial,8/6/2015,,Sold,,,,Warehouse,5238 Evers Rd,San Antonio,South Texas Siding Inc,Martin Bomba,11740,2 Star,S07,Northwest,Single,19700.38,11740,,2003
34,,229910,71870,301780,2015,8109,C,Masonry,,0.3283261803,76,0.57,24698,,,,1,9,,1.11,,,,,,,,,,,,Bexar,TX,78217,Industrial,11/20/2015,,Sold,,,,Warehouse,,,,,8109,2 Star,S06,Northeast,Multi,8239.94,8109,,1983
19,,274440,60430,334870,2015,6840,C,Metal,,0.3565657092,81,0.44,19183,,,,1,10,,1.46,,,,,,,,,,,,Bexar,TX,78212,Industrial,8/26/2016,,Sold,,,,Warehouse,,,,,6840,1 Star,S05,North Central,Multi,11174.75,6840,,1998
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
45,,321060,63480,384540,2016,11800,B,Metal,"12'0""-16'0""",0.3710925215,83,0.73,31798,,,,1,25,,2.11,,,,,,,,,,,,Bexar,TX,78217,Industrial,9/28/2016,,Sold,,,,Manufacturing,,,,,11800,2 Star,S05,North Central,Multi,10362.6,11800,100,1972
28,,198800,36300,235100,2016,5618,C,Metal,,0.4256705561,84,0.3,13198,,,,1,10,1,2.63,,,,,,,,,,,,Bexar,TX,78233,Industrial,9/21/2016,,Sold,,,,Warehouse,,,,,5618,1 Star,S06,Northeast,Multi,6335.49,5618,,1989
